연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2014,10대,1,1,0,0,0,1,0
2014,10대(남),1564,75,6,0,0,0,0
2014,10대(여),84,2,0,0,0,0,0
2014,20대(남),29616,6286,1451,253,55,18,39
2014,20대(여),3485,335,51,8,1,0,0
2014,30대(남),37050,18984,7841,2494,794,230,100
2014,30대(여),6259,1475,360,68,13,2,4
2014,40대(남),30272,19531,9703,3860,1409,528,262
2014,40대(여),6775,2054,586,134,38,5,23
2014,50대(남),18128,12237,6458,3001,1222,494,308
2014,50대(여),2171,801,298,89,23,6,1
2014,60대(남),4523,2594,1287,566,198,101,78
2014,60대(여),160,53,21,8,0,0,0
2014,70대 이상(남),982,383,121,53,22,10,6
2014,70대 이상(여),4,2,0,0,0,0,0
2014,불상,1184,0,0,0,0,1,8
