연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2011,10대(남),1490,63,7,2,1,0,0
2011,10대(여),105,2,0,0,0,0,0
2011,20대(남),32719,8242,1963,425,108,14,5
2011,20대(여),4002,446,69,9,3,0,0
2011,30대(남),39475,20559,7671,2398,704,192,72
2011,30대(여),6404,1531,362,76,12,2,0
2011,40대(남),35072,20679,9305,3367,1199,346,194
2011,40대(여),6225,1875,541,122,33,11,3
2011,50대(남),18413,10994,5170,2138,828,313,169
2011,50대(여),1583,578,166,44,14,5,0
2011,60대(남),4303,1970,826,310,104,43,34
2011,60대(여),95,24,18,2,1,0,0
2011,70대 이상(남),800,232,74,31,9,3,4
2011,70대 이상(여),3,0,0,0,0,0,0
2011,불상,799,0,0,1,1,0,6
