연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2013,10대(남),1489,75,3,0,1,0,0
2013,10대(여),84,3,0,0,0,0,0
2013,20대(남),32261,7246,1698,330,63,14,4
2013,20대(여),3932,417,66,6,0,1,0
2013,30대(남),41104,20910,8314,2670,825,249,108
2013,30대(여),6855,1573,379,89,18,8,0
2013,40대(남),34049,21244,9942,3800,1438,502,234
2013,40대(여),6881,2084,617,163,38,9,3
2013,50대(남),19800,12656,6345,2754,1126,429,313
2013,50대(여),2069,742,272,77,15,4,2
2013,60대(남),4421,2462,1102,441,176,62,51
2013,60대(여),129,52,18,5,1,1,0
2013,70대 이상(남),935,399,106,56,17,5,4
2013,70대 이상(여),5,0,0,0,0,0,0
2013,불상,978,0,0,0,0,1,6
