연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2015,10대(남),1675,109,6,1,0,0,1
2015,10대(여),94,0,0,0,0,0,0
2015,20대(남),28602,6221,1301,273,39,8,4
2015,20대(여),3429,343,42,4,1,0,0
2015,30대(남),34344,17744,7303,2446,768,236,98
2015,30대(여),6136,1389,327,58,19,2,0
2015,40대(남),27510,18464,9309,3875,1551,563,300
2015,40대(여),6449,2091,628,166,36,9,3
2015,50대(남),17400,12160,6644,3173,1367,592,389
2015,50대(여),2167,909,317,79,26,8,1
2015,60대(남),4887,3053,1488,670,336,124,84
2015,60대(여),231,77,27,6,4,0,0
2015,70대 이상(남),991,458,158,59,24,14,9
2015,70대 이상(여),9,0,2,0,0,0,0
2015,불상,1172,0,0,0,0,0,8
