연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2010,10대(남),1672,89,5,0,0,0,0
2010,10대(여),105,7,0,0,0,0,0
2010,20대(남),39069,10670,2643,507,107,14,10
2010,20대(여),5078,667,102,18,3,0,0
2010,30대(남),45751,23993,9041,2669,756,186,73
2010,30대(여),7582,1816,411,84,17,2,0
2010,40대(남),41978,24773,10817,3816,1283,399,205
2010,40대(여),7236,2195,617,137,30,5,0
2010,50대(남),20522,12015,5353,2091,782,257,164
2010,50대(여),1618,552,167,43,12,1,2
2010,60대(남),5066,2276,859,318,118,38,21
2010,60대(여),94,32,9,2,1,0,1
2010,70대 이상(남),830,229,78,20,9,1,0
2010,70대 이상(여),1,0,0,0,0,0,0
2010,불상,2484,0,1,0,0,0,2
