성별,특성구분,특성별,2010응답자수 (명),2010분율 (%),2010표준오차,2011응답자수 (명),2011분율 (%),2011표준오차,2012응답자수 (명),2012분율 (%),2012표준오차,2013응답자수 (명),2013분율 (%),2013표준오차,2014응답자수 (명),2014분율 (%),2014표준오차,2015응답자수 (명),2015분율 (%),2015표준오차,2016응답자수 (명),2016분율 (%),2016표준오차,2017응답자수 (명),2017분율 (%),2017표준오차,2018응답자수 (명),2018분율 (%),2018표준오차,2019응답자수 (명),2019분율 (%),2019표준오차,2020응답자수 (명),2020분율 (%),2020표준오차,2021응답자수 (명),2021분율 (%),2021표준오차
전체,거주지역별,동,4891,15.8,0.9,4812,15.6,0.9,4466,13.6,0.7,4311,13.4,0.6,4195,11.6,0.7,4367,12.7,0.7,4853,9.7,0.5,4991,8.1,0.5,5063,7.9,0.5,4960,4.9,0.4,4661,4.1,0.3,4375,3.1,0.3
전체,거주지역별,읍면,1366,22.1,1.5,1215,25.1,1.9,1125,22.2,2.3,1031,17.7,1.6,998,20.8,1.8,1044,19.9,1.3,1163,14.4,1.4,1123,15.3,1.7,1123,14.6,1.4,1230,10.9,1.2,1197,7.1,0.8,1260,7.6,1.3
전체,소득수준별,하,1215,14.9,1.1,1204,16.4,1.5,1079,15.2,1.6,1037,12.3,1.3,1009,11.7,1.4,1047,14.1,1.3,1193,10.1,1,1210,9.1,1.1,1235,10,1.3,1236,5.6,0.8,1149,4,0.7,1126,3.2,0.6
전체,소득수준별,중하,1248,14.5,1.4,1185,17.9,1.4,1116,13.9,1.6,1053,13.7,1.3,1036,13.5,1.4,1078,11.7,1.2,1201,9.7,1,1215,7.9,1,1237,8.9,1,1222,6.3,0.9,1162,4.4,0.7,1108,3.3,0.7
전체,소득수준별,중,1271,18.4,1.3,1190,16.9,1.5,1087,13.4,1.3,1080,15.7,1.3,1037,13.1,1.4,1082,14.9,1.5,1201,10.1,1,1222,9.2,1,1242,9.1,1,1224,6.8,0.9,1172,5,0.8,1123,3.2,0.6
전체,소득수준별,중상,1214,18.5,1.4,1193,17.4,1.6,1110,16.3,1.5,1064,13.3,1.2,1053,12.2,1.2,1084,14.2,1.3,1203,9.6,1.1,1227,10.9,1.1,1222,8.1,0.9,1243,4.5,0.7,1176,4.5,0.7,1124,4.8,0.7
전체,소득수준별,상,1229,20.6,1.8,1207,19.2,1.9,1134,17.9,1.5,1080,15.7,1.4,1039,14.9,1.4,1089,14.6,1.2,1199,12.6,1.1,1220,8.7,0.9,1231,8.2,1,1238,6.5,0.8,1179,5,0.7,1127,4.6,0.7
전체,거주지역(표준화)별,동,4891,15.8,0.9,4812,15.8,0.9,4466,13.7,0.7,4311,14,0.6,4195,12,0.7,4367,13.1,0.8,4853,10.1,0.5,4991,8.4,0.5,5063,8.2,0.5,4960,5,0.4,4661,4.2,0.4,4375,3.2,0.3
전체,거주지역(표준화)별,읍면,1366,24,1.9,1215,27.4,2.5,1125,24.6,2.9,1031,19.6,1.9,998,24,2.5,1044,21.9,2,1163,16.2,1.9,1123,15,2.1,1123,14.4,1.7,1230,10.8,1.4,1197,6.9,1,1260,6.4,1.3
전체,소득수준(표준화)별,하,1215,15.1,1.1,1204,16.8,1.6,1079,15.5,1.6,1037,12.7,1.4,1009,12.2,1.4,1047,14.4,1.5,1193,10.2,1,1210,9.3,1.2,1235,10,1.3,1236,5.4,0.8,1149,3.8,0.7,1126,3,0.6
전체,소득수준(표준화)별,중하,1248,14.4,1.4,1185,19.1,1.5,1116,14.4,1.7,1053,14.3,1.3,1036,13.9,1.5,1078,12.1,1.3,1201,10.1,1.1,1215,8.4,1.1,1237,9,1,1222,6.5,1,1162,4.4,0.8,1108,3,0.7
전체,소득수준(표준화)별,중,1271,19.3,1.4,1190,17.2,1.6,1087,13.8,1.4,1080,16.6,1.4,1037,14.1,1.5,1082,15.7,1.7,1201,10.7,1.1,1222,9.3,1.1,1242,9.3,1,1224,7.2,1.1,1172,5,0.8,1123,3.3,0.7
전체,소득수준(표준화)별,중상,1214,19.1,1.4,1193,17.8,1.7,1110,16.2,1.5,1064,13.8,1.3,1053,12.2,1.1,1084,15.1,1.4,1203,10,1.1,1227,11.3,1.2,1222,8.3,0.9,1243,4.3,0.7,1176,4.8,0.8,1124,4.6,0.7
전체,소득수준(표준화)별,상,1229,21,1.8,1207,19.7,1.9,1134,18.3,1.6,1080,16.9,1.5,1039,15.7,1.5,1089,15.1,1.3,1199,13.6,1.3,1220,8.8,0.9,1231,8.2,1.1,1238,6.2,0.8,1179,4.9,0.8,1127,4.8,0.9
